id_station;name_station;nama_propinsi;nama_kota;kecamatan;kelurahan;latt_station;long_station;elv_station;status_operasional;hp_petugas;tgl_pasang;addr_instansi;data_transport;instansi;nama_vendor
STA3026;AAWS Klungkung;Bali;Kab. Klungkung;Dawan;Dawan Kelod;-8.54216;115.441;29;operasional;81236108714;9/13/2016;Jalan Sawo kabeh.;FTP;Dinas Pertanian Kab. Klungkung;BMKG-Casella
STA3055;AAWS Karangasem;Bali;Kab. Karang Asem;Rendang;Singarata;-8.41598;115.4201;590;operasional;85792135188;9/10/2016;;FTP;UPTD BP3 Kab. Karangasem;Theis
STA3056;AAWS Tabanan;Bali;Kab. Tabanan;Penebel;Buruan;-8.46083333;115.1391667;295;operasional;82236523371;9/10/2016;;FTP;BPP Penebel;Theis
STA3000;AAWS Lebak;Banten;Kab. Lebak;Cipanas;Cipanas;-6.5461;106.3906;160;operasional;85882229202;9/13/2016;JL Raya Rangkasbitung - Bogor;FTP;BP3K Cipanas;BMKG-Casella
STA3001;AAWS Serang;Banten;Kota Serang;Curug;Curug;-6.171216;106.1902;41;operasional;87774062331;9/13/2016;JL syech Moh.Nawawi Al Bantani.;FTP;Dinas Pertanian Provinsi Banten;BMKG-Casella
STA3002;AAWS Teluk Lada;Banten;Kab. Pandeglang;Sobang;Teluk Lada;-6.523345;105.8264;4;operasional;85212294701;9/13/2016;JL Teluk Lada Raya.;FTP;Dinas Pertanian Kab Pandeglang;BMKG-Casella
AAWS0321;AAWS Lebong;Bengkulu;Kab. Lebong;Lebong Utara;Tunggang;-3.096778;102.1916389;382;operasional;81539466120;9/13/2016;Tunggang Lebong;FTP;BPP Tunggang;Microsep-MIS
AAWS0322;AAWS Bengkulu Utara;Bengkulu;Kab. Bengkulu Utara;Arga Makmur;Gunung Alam;-3.438154;102.19923;172;operasional;82186521759;10/17/2019;Arga Makmur;FTP;BMKG;
AAWS0351;AAWS Gunung Kidul;DI Yogyakarta;Kab. Gunung Kidul;Karangmojo;Karangmojo;-7.96221;110.69331;251;operasional;87886218699;9/13/2016;Karangduwet 1, Karangmojo, Gunungkidul;FTP;BMKG;Microsep-MIS
STA3023;AAWS Bantul;DI Yogyakarta;Kab. Bantul;Jetis;Barongan;-7.907249043;110.3649754;45;operasional;8122941048;1/9/2013;Komplek Balai Benih Barongan,, Jetis, Bantul, yogyakarta;FTP;Balai Benih Barongan;BMKG-Casella
AAWS0325;AAWS Boalemo Wonosari;Gorontalo;Kab. Boalemo;Wonosari ;Bongo Dua ;0.6995013;122.4517;50;operasional;85298280282;9/13/2016;Wonosari;FTP;BPP Wonosari;Microsep-MIS
AAWS0342;AAWS Anggrek;Gorontalo;Kab. Gorontalo Utara;Anggrek;Tolongio;0.799722;122.8256;20;operasional;82292796235;9/13/2013;Kec Anggrek;FTP;BPP Anggrek;Microsep-MIS
STA3034;AAWS Pohuwato;Gorontalo;Kab. Pahuwato;Duhiadaa, Marisa 1;Marisa;0.495736;121.9141;11;operasional;85298593473;9/13/2011;;FTP;BP3K Duhiadaa;BMKG-MSP
AAWS0318;AAWS Muara Limun;Jambi;Kab. Sarolangun;Limun;Desa Temenggun ;-2.432557;102.618544;63;operasional;81366788518;9/13/2016;Desa Temenggun Dusun Mengkadai;FTP;BMKG;Microsep-MIS
AAWS0319;AAWS Bangko;Jambi;Kab. Merangin;Batang Masumai;Titian Teras ;-2.073987;102.24034;83;operasional;82181382259;9/13/2016;Merangin;FTP;BMKG;Microsep-MIS
AAWS0344;AAWS Tanjung Jabung Timur;Jambi;Kab. Tanjung Jabung Timur;Berbak;Simpang;-1.290472;104.0828;6;operasional;85266469499;9/13/2016;Kec.Berbak;FTP;BMKG;Microsep-MIS
AAWS0348;AAWS Lemah Abang;Jawa Barat;Kab. Cirebon;Lemahabang;Cipoji Wetan;-6.82313;108.61802;12;operasional;85351662220;9/13/2016;Lemah Abang;FTP;BPP Lemahabang;Microsep-MIS
AAWS0354;AAWS Jatinangor ITB;Jawa Barat;Kab. Sumedang;Jatinangor;Sayang;-6.92924;107.76995;744;operasional;81322246049;9/13/2016;Jl. Let. Jend. Purn. Dr. (HC) Mashudi No. 1;FTP;Kampus ITB Jatinangor;Microsep-MIS
AAWS3010;AAWS Dramaga;Jawa Barat;Kab. Bogor;Bogor Barat;Situgede;-6.55324;106.74283;175;operasional;83154801819;9/13/2016;Jl. Alternatif IPB - Situ Gede;FTP;Stasiun Klimatologi Jawa Barat;Microsep-MIS
STA3004;AAWS Sumedang;Jawa Barat;Kab. Sumedang;Ranca Kalong;Nagarawangi;-6.82425;107.84493;828;operasional;85320344625;9/13/2016;Jl. Raya Rancakalong - Sumedang;FTP;UPTD Balai Benih Hortikultura dan Perkebunan Rancakalong;BMKG-Casella
STA3005;AAWS Ujung Genteng ;Jawa Barat;Kab. Sukabumi;Ciracap;Pangumbahan;-7.32476;106.41298;27;operasional;85794861131;9/13/2016;Kampung Citiis;FTP;PT. ASABALAND - Perkebunan Kelapa;BMKG-MSP
